"mat_code";"gcn_no";"gcn_date";"grn_no";"grn_date";"po_no";"po_date";"receiver_id";"consignee_id";"po_sl_no";"part_id";"part_name";"qty_delivered";"uom";"unit_price";"taxable_amt";"cgst_price";"sgst_price";"igst_price";"rejected_item"
"MEE";"055/2023-24";"21-08-2023";"2023-24/07717";" 03-08-2023";"2023-24/00022";"04-04-2023";"hite";"alst";1;"4617";"BRACKET-NH00002647283";97;"Nos";1420.0;137740.0;0.0;0.0;24793.2;0
"MEE";"056/2023-24";"22-08-2023";"2023-24/07715";"03-08-2023";"2022-23/00073";"06-04-2022";"hite";"hite";1;"4316";"AIR ADAPTOR";24;"Nos";1415.0;33960.0;0.0;0.0;6112.8;0
"MEE";"057/2023-24";"23-08-2023";"SC232400248";"16-08-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";20;"F5-67M";"COVER ROUGH MACHINED DISCHARGE SIZE A/B/C WELL SERVICE PUMP ASSEMBLED";299;"Nos";250.0;74750.0;6727.5;6727.5;0.0;0
"MEE";"058/2023-24";"24-08-2023";"SC232400262";"19-08-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";19;"F5-61";"COVER RETAINER SUCTION SIZE A/B/C WELL SERVICE PUMP SERIES 200 COMMON FORGING";144;"Nos";697.0;100368.0;9033.12;9033.12;0.0;0
"MEE";"058/2023-24";"24-08-2023";"SC232400262";"19-08-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";22;"F5-61M1";"COVER RETAINER, DISCHARGE  SIZE A/B/C, WELL SERVICE PUMP MACHINED";48;"Nos";671.0;32208.0;2898.72;2898.72;0.0;0
"MEE";"059/2023-24";"26-08-2023";"2023-24/08205";"11-08-2023";"2023-24/00022";"04-04-2023";"hite";"alst";1;"4617";"BRACKET-NH00002647283";60;"Nos";1420.0;85200.0;0.0;0.0;15336.0;0
"MEE";"060/2023-24";"28-08-2023";"650/23-24";"22-08-2023";"63/2020-2021 ";"18-06-2020";"amst";"amst";1;"AT00000461232,D";"END SHIELD-DRIVING SIDE PART";32;"Nos";18000.0;576000.0;0.0;0.0;103680.0;0
"MEE";"061/2023-24";"29-08-2023";"2023-24/08216";"11-08-2023";"2023-24/00017";"03-04-2023";"hite";"alst";1;"4344";"SUPPORT CASTING BRACKET AGTU";43;"Nos";1240.0;53320.0;0.0;0.0;9597.6;0
"MEE";"061/2023-24";"29-08-2023";"2023-24/08206";"11-08-2023";"2023-24/00022";"04-04-2023";"hite";"alst";1;"4617";"BRACKET-NH00002647283";80;"Nos";1420.0;113600.0;0.0;0.0;20448.0;0
"MEE";"062/2023-24";"02-09-2023";"2023-24/08779";"21-08-2023";"2023-24/00022";"04-04-2023";"hite";"alst";1;"4617";"BRACKET-NH00002647283";95;"Nos";1420.0;134900.0;0.0;0.0;24282.0;0
"MEE";"063/2023-24";"05-09-2023";"SC232400285";"30-08-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";19;"F5-61";"COVER RETAINER SUCTION SIZE A/B/C WELL SERVICE PUMP SERIES 200 COMMON FORGING";48;"Nos";697.0;33456.0;3011.04;3011.04;0.0;0
"MEE";"063/2023-24";"05-09-2023";"SC232400285";"30-08-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";22;"F5-61M1";"COVER RETAINER, DISCHARGE  SIZE A/B/C, WELL SERVICE PUMP MACHINED";48;"Nos";671.0;32208.0;2898.72;2898.72;0.0;0
"MEE";"064/2023-24";"08-09-2023";"2023-24/09099";"26-08-2023";"2023-24/00022";"04-04-2023";"hite";"alst";1;"4617";"BRACKET-NH00002647283";88;"Nos";1420.0;124960.0;0.0;0.0;22493.0;0
